Codigo_temporada;Codigo_competicion;Codigo_fase;Codigo_grupo;Codigo_equipo;Posicion;Puntos;Partidos_jugados;Partidos_ganados;Partidos_empatados;Partidos_perdidos;Goles_favor;Goles_contra;Nombre_temporada;Nombre_competicion;Nombre_fase;Nombre_grupo;Nombre_deporte;Nombre_categoria;Nombre_equipo;Nombre-Sexo;Nombre_distrito
2022;8474 ;8670;11110;83833;11;.00;4;0;0;4;2;21;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CHB DOM TAR FS SEN MAS P. SANTANDER;FUTBOL SALA;SENIOR ;Nottingham Miedo;MASCULINO;Chamberí
2022;8474 ;8670;11110;83168;12;-2.00;4;0;0;3;4;27;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CHB DOM TAR FS SEN MAS P. SANTANDER;FUTBOL SALA;SENIOR ;Vergudo F.C;MASCULINO;Chamberí
2022;8478 ;8682;11150;82776;2;13.00;6;4;1;1;18;8;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM LAT DOM MAÑ F7 SEN MAS G2;FUTBOL 7;SENIOR ;ILSIDISI;MASCULINO;Latina
2022;8478 ;8682;11150;84268;1;18.00;6;6;0;0;23;5;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM LAT DOM MAÑ F7 SEN MAS G2;FUTBOL 7;SENIOR ;RAYO LUCERO;MASCULINO;Latina
2022;8478 ;8682;11150;83143;4;12.00;5;4;0;1;18;8;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM LAT DOM MAÑ F7 SEN MAS G2;FUTBOL 7;SENIOR ;SMDS;MASCULINO;Latina
2022;8478 ;8682;11150;84196;3;13.00;6;4;1;1;21;14;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM LAT DOM MAÑ F7 SEN MAS G2;FUTBOL 7;SENIOR ;Rayo Wakanda;MASCULINO;Latina
2022;8478 ;8682;11150;82722;5;12.00;6;4;0;2;20;18;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM LAT DOM MAÑ F7 SEN MAS G2;FUTBOL 7;SENIOR ;Vedruna OG´s;MASCULINO;Latina
2022;8478 ;8682;11150;84512;6;11.00;6;4;0;2;18;15;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM LAT DOM MAÑ F7 SEN MAS G2;FUTBOL 7;SENIOR ;CD Vista Alegra;MASCULINO;Latina
2022;8478 ;8682;11150;82565;7;7.00;5;2;1;2;19;20;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM LAT DOM MAÑ F7 SEN MAS G2;FUTBOL 7;SENIOR ;SPORTING DE BRUGAL;MASCULINO;Latina
2022;8478 ;8682;11150;84459;10;3.00;6;1;0;5;14;25;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM LAT DOM MAÑ F7 SEN MAS G2;FUTBOL 7;SENIOR ;Rango Palace F.C.;MASCULINO;Latina
2022;8478 ;8682;11150;82038;8;7.00;6;2;1;3;23;25;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM LAT DOM MAÑ F7 SEN MAS G2;FUTBOL 7;SENIOR ;PLATA O PLOMO FC;MASCULINO;Latina
2022;8478 ;8682;11150;82936;9;6.00;6;2;0;4;12;19;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM LAT DOM MAÑ F7 SEN MAS G2;FUTBOL 7;SENIOR ;BEERMINGHAM FC;MASCULINO;Latina
2022;8478 ;8682;11150;83725;11;.00;6;0;0;6;11;21;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM LAT DOM MAÑ F7 SEN MAS G2;FUTBOL 7;SENIOR ;Teteria Negroni 18;MASCULINO;Latina
2022;8478 ;8682;11150;84118;12;.00;6;0;0;6;12;31;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM LAT DOM MAÑ F7 SEN MAS G2;FUTBOL 7;SENIOR ;MSG;MASCULINO;Latina
2022;8479 ;8683;10386;83429;1;15.00;5;5;0;0;15;0;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM MON DOM MAÑ VB SEN FEM;VOLEIBOL;SENIOR ;LATINAS DEL MUNDO ;FEMENINO;Moncloa-Aravaca
2022;8479 ;8683;10386;82096;2;11.00;4;3;0;0;11;1;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM MON DOM MAÑ VB SEN FEM;VOLEIBOL;SENIOR ;STARS SPORT C;FEMENINO;Moncloa-Aravaca
2022;8479 ;8683;10386;83834;6;7.00;4;2;0;1;7;5;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM MON DOM MAÑ VB SEN FEM;VOLEIBOL;SENIOR ;SACO SACO OE;FEMENINO;Moncloa-Aravaca
2022;8479 ;8683;10386;82452;3;11.00;4;3;0;0;11;1;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM MON DOM MAÑ VB SEN FEM;VOLEIBOL;SENIOR ;Chicas de Oro;FEMENINO;Moncloa-Aravaca
2022;8479 ;8683;10386;82092;4;8.00;4;2;0;2;8;4;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM MON DOM MAÑ VB SEN FEM;VOLEIBOL;SENIOR ;SakoniaSoul;FEMENINO;Moncloa-Aravaca
2022;8479 ;8683;10386;82785;5;7.00;4;2;0;1;7;5;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM MON DOM MAÑ VB SEN FEM;VOLEIBOL;SENIOR ;Juanas las locas;FEMENINO;Moncloa-Aravaca
2022;8479 ;8683;10386;83574;8;4.00;5;0;0;0;4;11;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM MON DOM MAÑ VB SEN FEM;VOLEIBOL;SENIOR ;ABV BOADILLA;FEMENINO;Moncloa-Aravaca
2022;8479 ;8683;10386;82310;9;3.00;4;1;0;0;3;9;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM MON DOM MAÑ VB SEN FEM;VOLEIBOL;SENIOR ;LSGDO VOLEIBOL;FEMENINO;Moncloa-Aravaca
2022;8479 ;8683;10386;83287;7;4.00;4;0;0;0;4;8;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM MON DOM MAÑ VB SEN FEM;VOLEIBOL;SENIOR ;C.D. DOSA;FEMENINO;Moncloa-Aravaca
2022;8479 ;8683;10386;83535;11;.00;5;0;0;1;1;14;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM MON DOM MAÑ VB SEN FEM;VOLEIBOL;SENIOR ;Nuestra Señora del Pilar;FEMENINO;Moncloa-Aravaca
2022;8479 ;8683;10386;82522;10;1.00;5;0;0;1;1;14;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM MON DOM MAÑ VB SEN FEM;VOLEIBOL;SENIOR ;ESCLAVAS ;FEMENINO;Moncloa-Aravaca
2022;8472 ;8664;11131;82931;1;15.00;5;5;0;0;23;3;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CEN DOM TAR F7 SEN MAS G2 Samaranch;FUTBOL 7;SENIOR ;CONSEJO F.C.;MASCULINO;Centro
2022;8472 ;8664;11131;82515;4;10.00;5;3;1;1;8;8;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CEN DOM TAR F7 SEN MAS G2 Samaranch;FUTBOL 7;SENIOR ;Real Rocoso;MASCULINO;Centro
2022;8472 ;8664;11131;84495;2;12.00;5;4;0;1;21;6;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CEN DOM TAR F7 SEN MAS G2 Samaranch;FUTBOL 7;SENIOR ;La Competencia;MASCULINO;Centro
2022;8472 ;8664;11131;81821;5;9.00;4;3;0;1;14;7;2022/2023;43 JUEGOS DEPORTIVOS MUNICIPALES;FASE GRUPO 43 JDM;JDM CEN DOM TAR F7 SEN MAS G2 Samaranch;FUTBOL 7;SENIOR ;Recas FC;MASCULINO;Centro
